segment,image,road_type,lat,lon,cls,conf,area
SEG-01,sample.jpg,Collector,9.96724,76.23883,0,0.483,0.0671
SEG-01,sample.jpg,Collector,9.96724,76.23883,0,0.552,0.0071
SEG-01,sample.jpg,Collector,9.96724,76.23883,2,0.546,0.0297
SEG-02,sample.jpg,Local,9.91546,76.26358,0,0.472,0.0203
SEG-02,sample.jpg,Local,9.91546,76.26358,0,0.663,0.026
SEG-02,sample.jpg,Local,9.91546,76.26358,1,0.789,0.0771
SEG-03,sample.jpg,Collector,9.9345,76.24945,3,0.534,0.0137
SEG-03,sample.jpg,Collector,9.9345,76.24945,1,0.677,0.051
SEG-03,sample.jpg,Collector,9.9345,76.24945,3,0.272,0.0446
SEG-04,sample.jpg,Collector,9.89619,76.27861,2,0.576,0.0245
SEG-05,sample.jpg,Local,9.93196,76.26817,0,0.701,0.0562
SEG-05,sample.jpg,Local,9.93196,76.26817,2,0.355,0.0652
SEG-05,sample.jpg,Local,9.93196,76.26817,0,0.295,0.0691
SEG-06,sample.jpg,Local,9.96132,76.26505,0,0.254,0.0534
SEG-06,sample.jpg,Local,9.96132,76.26505,2,0.71,0.0261
SEG-06,sample.jpg,Local,9.96132,76.26505,0,0.602,0.0654
SEG-07,sample.jpg,Local,9.90324,76.26588,0,0.574,0.0068
SEG-07,sample.jpg,Local,9.90324,76.26588,1,0.755,0.067
SEG-08,sample.jpg,Local,9.94403,76.24694,2,0.366,0.0673
SEG-08,sample.jpg,Local,9.94403,76.24694,0,0.704,0.0173
SEG-08,sample.jpg,Local,9.94403,76.24694,0,0.424,0.0569
SEG-09,sample.jpg,Arterial,9.9229,76.22777,0,0.308,0.0525
SEG-09,sample.jpg,Arterial,9.9229,76.22777,0,0.649,0.054
SEG-10,sample.jpg,Arterial,9.96059,76.27787,2,0.438,0.0458
SEG-11,sample.jpg,Arterial,9.97089,76.24676,0,0.392,0.0622
SEG-12,sample.jpg,Collector,9.90149,76.2574,0,0.616,0.0392
SEG-13,sample.jpg,Collector,9.95837,76.28542,0,0.452,0.0132
SEG-13,sample.jpg,Collector,9.95837,76.28542,0,0.406,0.0286
SEG-14,sample.jpg,Arterial,9.93734,76.30504,2,0.685,0.0619
SEG-14,sample.jpg,Arterial,9.93734,76.30504,1,0.755,0.0567
SEG-15,sample.jpg,Collector,9.89737,76.26638,0,0.528,0.0639
SEG-15,sample.jpg,Collector,9.89737,76.26638,0,0.673,0.0444
SEG-16,sample.jpg,Highway,9.9684,76.25943,0,0.716,0.0143
SEG-17,sample.jpg,Collector,9.90623,76.2587,2,0.465,0.0781
SEG-17,sample.jpg,Collector,9.90623,76.2587,1,0.631,0.0441
SEG-17,sample.jpg,Collector,9.90623,76.2587,0,0.468,0.0756
SEG-18,sample.jpg,Arterial,9.97026,76.28796,0,0.603,0.0336
SEG-19,sample.jpg,Arterial,9.9315,76.22864,3,0.407,0.0611
SEG-20,sample.jpg,Arterial,9.90794,76.2997,0,0.417,0.0799
SEG-20,sample.jpg,Arterial,9.90794,76.2997,0,0.717,0.0504
SEG-21,sample.jpg,Local,9.94163,76.25632,0,0.496,0.0329
SEG-21,sample.jpg,Local,9.94163,76.25632,1,0.32,0.0217
SEG-21,sample.jpg,Local,9.94163,76.25632,1,0.463,0.0644
SEG-22,sample.jpg,Collector,9.9601,76.28589,1,0.408,0.0637
SEG-22,sample.jpg,Collector,9.9601,76.28589,0,0.291,0.0772
SEG-22,sample.jpg,Collector,9.9601,76.28589,1,0.676,0.0447
SEG-23,sample.jpg,Collector,9.89391,76.24224,1,0.337,0.0764
SEG-23,sample.jpg,Collector,9.89391,76.24224,0,0.531,0.0158
SEG-24,sample.jpg,Collector,9.91331,76.23803,0,0.346,0.0194
SEG-24,sample.jpg,Collector,9.91331,76.23803,1,0.498,0.0768
SEG-24,sample.jpg,Collector,9.91331,76.23803,3,0.688,0.0554
SEG-25,sample.jpg,Local,9.9663,76.22911,0,0.301,0.05
SEG-26,sample.jpg,Arterial,9.91235,76.25037,0,0.658,0.0538
SEG-27,sample.jpg,Collector,9.89392,76.26166,0,0.462,0.0065
SEG-27,sample.jpg,Collector,9.89392,76.26166,0,0.369,0.0361
SEG-27,sample.jpg,Collector,9.89392,76.26166,1,0.736,0.0287
SEG-28,sample.jpg,Highway,9.9573,76.23225,0,0.78,0.0615
SEG-28,sample.jpg,Highway,9.9573,76.23225,0,0.323,0.034
SEG-28,sample.jpg,Highway,9.9573,76.23225,0,0.731,0.0364
SEG-29,sample.jpg,Highway,9.96534,76.27709,0,0.506,0.0119
SEG-29,sample.jpg,Highway,9.96534,76.27709,1,0.589,0.0074
SEG-29,sample.jpg,Highway,9.96534,76.27709,2,0.683,0.0736
SEG-30,sample.jpg,Collector,9.94663,76.2404,0,0.286,0.0773
